Discuz(康盛)	Body="Powered by Discuz!"
Spree-Commerce	Body="<div style=\"margin:0;padding:0;display:inline\"><input name=\"utf8\" type=\"hidden\" value=\"&#x2713;\" /></div>"
CraftCMS	Body="<a id=\"poweredby\" href=\"http://craftcms.com/\" title=\"Powered by Craft CMS\">"
CraftCMS	Header~="(set-cookie: CraftSessionId)"
Connectix-Boards	Body="<title>Installation de Connectix Boards</title>"
Connectix-Boards	Body="<title>Connectix Boards - Fatal Error</title>"
Connectix-Boards	Body="<title>Connectix Boards Error</title>"
Connectix-Boards	Body~="(Powered by <a href=\"http:\\/\\/www.connectix-boards.org\"[^>]*>Connectix Boards<\\/a> ([^&]+) &copy; [0-9]{4}-[0-9]{4})"
AMDSoFT	Body~="(style=\"color: aliceblue\"><span style=\"color: gray\">Powered\\s+by<\\/span> <\\/span><a href=\"http:\\/\\/www\\.iranfairit\\.com\">)"
VamCart	Body~="(<link type=\"text\\/css\" href=\"[^\"]+\\/stylesheets\\/load\\/vamcart\\.css\" rel=\"stylesheet\"  media=\"screen\"\\/>)"
StarDot-NetCam	Body~="(<title>NetCam Live Image[\\ Popup]*<\\/title>)"
StarDot-NetCam	Body~="(<applet code=\"CaptureClient.class\" width=\"[\\d]+\" height=\"[\\d]+\" alt=\"NetCam Live [Stream|Image]+\">)"
StarDot-NetCam	Body~="(<title>NetCamXL Live Image[\\ Popup]*<\\/title>)"
StarDot-NetCam	Body~="(<applet code=\"CaptureClient.class\" width=\"[\\d]+\" height=\"[\\d]+\" alt=\"NetCamXL Live [Stream|Image]+\">)"
CubeCart	Body="<div class='txtCopyright'>Powered by <a href='http://www.cubecart.com' class='txtCopyright' target='_blank'>CubeCart</a>"
CubeCart	Body~="(<title>[^<]{1,256} \\(Powered by CubeCart\\)<\\/title>)"
CubeCart	Body~="(<p class=\"defaultText\">Powered by CubeCart version ([\\d\\.]+)<br \\/>)"
openEngine	Body="<!-- openEngine Comment START -->"
openEngine	Body~="(<!--\\[if lte? IE 7\\]>[\\s]+<script src=\"system\\/([^\\/^>]+\\/)*script\\/IE7\\/ie7-standard-p\\.js\" type=\"text\\/javascript\"><\\/script>)"
openEngine	Body~="(<p class=\"adminText\" style=\"font-size:9px;\">[\\s]+openEngine ([^\\s]+)( - [\\d]+)? - Open Source Web Content Management System<br>)"
openEngine	Body~="(<a href=\"http:\\/\\/www\\.openengine\\.de\" target=\"_blank\"><img src=\"system\\/([^\\/^>]+\\/)*\\/img\\/oes_logo\\.png\" alt=\"openEngine Homepage\"><\\/a><\\/p>)"
TiVo	Header~="(server: ^tivo-httpd)"
TiVo	Header~="(server: ^tivo-httpd-[\\d]+:(.+)$)"
SourceBans	Body~="(<a href=\"http:\\/\\/www.sourcebans.net\" target=\"_blank\"><img src=\"images\\/sb.png\" alt=\"SourceBans\" border=\"0\" \\/><\\/a><br\\/>\\n<div id=\"footqversion\">Version ([\\d\\.]+) <\\/div>)"
SourceBans	Body="<a href=\"http://www.sourcebans.net\" target=\"_blank\"><img src=\"images/sb.png\" alt=\"SourceBans\" border=\"0\" /></a><br/>"
SourceBans	Body~="(<div class='dbg' id='[0-9a-f]{7}'><span style='font-weight:bold'>Table '[a-z]+\\.sb_settings' doesn't exist<\\/span> <br \\/><br \\/><span>SQL Query type: <\\/span><span style='font-weight:bold'>EXECUTE<\\/span><span><br \\/><span>)"
NCR-iTRAN-3000t-Imaging-Transport	Body~="(<html><title>Infinity Site Configuration<\\/title>\\s+<body bgcolor=white link=blue text=black vlink=maroon>\\s+<center>\\s+<p align=right>Version: ([^\\s^<]+)<\\/p>)"
NCR-iTRAN-3000t-Imaging-Transport	Body~="(<html>\\s+<title>Main Menu<\\/title>\\s+<body bgcolor=white link=blue text=black vlink=maroon>\\s+<p align=right>Version: ([^\\s^<]+)<\\/p>)"
NCR-iTRAN-3000t-Imaging-Transport	Body~="(<h1><i><font color=red>Infinity<\\/font><\\/i> Main Menu<\\/h1>\\s+<b>([^<]+)<\\/b>)"
adxstudio-cms	Header~="(set-cookie: anonprofile)"
adxstudio-cms	Body="/PoweredByADX.gif"
adxstudio-cms	Body="alt=\"Powered by Adxstudio\""
adxstudio-cms	Body="/poweredbyadx.png"
SIMSWeb	Body="<title>SIMSWeb Loading.....</title>"
SIMSWeb	Body="<script language=\"Javascript\" src=\"/SIMSWeb/monitor.js\"></script>"
SIMSWeb	Body="<form onSubmit=\"sendinfo(); return false;\" name=\"LOGON\">"
Parked-Domain	Body="<img src=\"http://images-pw.secureserver.net/images/log_gd_3.gif\" usemap=\"#lmap\" border=\"0\" alt=\"This web page is parked FREE, courtesy of GoDaddy.com\" ></a></div>"
Parked-Domain	Body="<script language='javascript' src='https://a12.alphagodaddy.com/hosting_ads/gd01.js'></script>"
Parked-Domain	Body="<title>This Domain is Parked at Servlet.com</title>"
Parked-Domain	Body="document.write('<a href=\"mailto:info' + '@' + 'servlet.com\">' + 'contact us</a>');"
Parked-Domain	Body="<title>Domain Temporarily Parked with Dreamhost.com!</title>"
Parked-Domain	Body="<title>This domain is parked with eHost.co.za</title>"
Parked-Domain	Body="<title>This domain is currently parked at WebOlli Hosting Solutions - www.WebOlli.com</title>"
Parked-Domain	Body="<div class=\"parkblurb\">This domain is parked for free at Sitelutions.  The domain name <b>"
Parked-Domain	Body="<title>This Domain is Parked at Domainmasters.co.ke</title>"
Parked-Domain	Body="<title>This domain is parked by The Good Geeks / Geek Media</title>"
Parked-Domain	Body="<title>This domain is parked by IberSoluciones.com</title>"
Parked-Domain	Body="<title>Enlighten Hosting - This domain is currently parked</title>"
Parked-Domain	Body="<a href=\"http://www.enlightenhosting.com/services/domain/freeparking.aspx\">Parking your domain</a> is a free service provided by <a href=\"http://www.enlightenhosting.com/\">Enlighten Hosting</a>.</p>"
Parked-Domain	Body="<img src=\"http://www.omegapointdesign.com/domain_parked.jpg\" alt=\"This domain is parked\" border=\"0\" /></div>"
Parked-Domain	Body="<TITLE>This domain is parked at config.com Internet services provider - commercial and consumer Internet services </TITLE>"
Parked-Domain	Body="<title>This Domain is Parked at Dot Com Today</title>"
Parked-Domain	Body="<title>This domain is parked for free with web.com</title>"
QCubed-Development-Framework	Body~="(<div id=\"codeVersion\">QCubed Development Framework ([^\\(]+) \\([^\\)]+\\)<\\/div>)"
QCubed-Development-Framework	Body~="(<b>PHP Version:<\\/b> [^;]+;&nbsp;&nbsp;<b>Zend Engine Version:<\\/b> [^;]+;&nbsp;&nbsp;<b>QCubed Version:<\\/b> ([^\\(]+) \\([^\\(]+\\)<br \\/>)"
Micro-CMS	Body~="(<div class=\"footer\"><div style=\"float: left;\">Powered by <a href=\"http:\\/\\/(tpiha.kset.org|www.micro-cms.com)\\/\">Micro CMS<\\/a> \\| <a href=\")"
Micro-CMS	Body="Powered by <strong><a href=\"http://microcms.kset.org/\">Micro CMS</a></strong><br />"
Micro-CMS	Body="\" method=\"post\"onsubmit=\""
TFTgallery	Body="Select an album: <select name=\"album\" onchange=\"javascript:document.tftnavi.submit();\"><option></option>"
TFTgallery	Body="<title>TFTgallery administration</title><link rel='stylesheet' type='text/css' href"
TFTgallery	Body="<div class=\"login_text\"><br /><a href=\"../index.php\">back to the gallery</a></div>"
TFTgallery	Body~="(<td class='footer_right'><a href='http:\\/\\/www.tftgallery.org\\/' target='_blank'><img src=\"[^\"]*images\\/TFTgallery.png\" alt=\"TFTgallery\" border=\"0\" \\/><\\/a><\\/td>)"
TFTgallery	Body~="(<meta name=\"generator\" content=\"TFTgallery ([\\d\\.]{1,5}) http:\\/\\/www.tftgallery.org\\/\" \\/>)"
phpSysInfo	Body="var sTargetURL = \"index.php?disp=dynamic\";"
phpSysInfo	Body~="(Generated by[\\s&nbsp;]*<a href=\"http:\\/\\/phpsysinfo.sourceforge.net[^>]*>[\\s&nbsp;]*phpSysInfo[\\s&nbsp;]*-[\\s&nbsp;]*([^<]+)<\\/a>)"
phpSysInfo	Body~="(Created by[\\s&nbsp;]*<a href=\"http:\\/\\/phpsysinfo.sourceforge.net[^>]*>[\\s&nbsp;]*phpSysInfo[\\s&nbsp;]*-[\\s&nbsp;]*([^<]+)<\\/a>)"
phpSysInfo	Body~="(<span>Created by <\\/span><a href=\"http:\\/\\/phpsysinfo.sourceforge.net\\/\"><span>phpSysInfo - <\\/span><span>([^<]+)<\\/span>)"
phpSysInfo	Body~="(<td style=\"width:160px; \"><span>Kernel Version<\\/span><\\/td><td>([^<]+)<\\/td><\\/tr>)"
phpSysInfo	Body~="(<td valign=\"top\"><font size=\"-1\">Distro Name<\\/font><\\/td>[\\r\\n\\s]*<td><img[^>]+>[\\s&nbsp;]*<font size=\"-1\">([^<]+)<\\/font><\\/td>)"
phpSysInfo	Body~="(<td valign=\"top\"><font size=\"-1\">Kernel Version<\\/font><\\/td>[\\r\\n\\s]*<td><font size=\"-1\">([^<]+)<\\/font><\\/td>)"
CloudFront	Body="<html><body>Sorry, invalid request</body></html>"
CloudFront	Header~="(server: ^CloudFront)"
CloudFront	Header~="(x-cache: ^Error from cloudfront)"
Pligg-CMS	Body~="(Powered [Bb]y:? <a href=\"http:\\/\\/www.pligg.com\\/?\"( target=\"_blank\")?>(Powered By )?Pligg( CMS)?<\\/a>)"
Pligg-CMS	Body="jQuery.jTwitter('pligg', function (userdata) {"
Suspended-Webpage	Body="<!-- InstanceBegin template=rwh.dwt codeOutsideHTMLIsLocked=false --><!--Copyright &copy; 2002-2010 by Flux Services, Inc.--><html><head><meta http-equiv=\"Content-Type\" content=\"text/html; charset=iso-8859-1\"><title>Website Unavailable - UltraWebsiteHosting.com</title><META NAME=ROBOTS CONTENT=NOINDEX,NOFOLLOW><LINK REL=\"SHORTCUT ICON\" HREF=favicon.ico><style type=\"text/css\">"
Suspended-Webpage	Body="background-image: url(http://www.ultrawebsitehosting.com/suspended/body-bg.gif);"
Odoo	Body="<meta name=\"generator\" content=\"Odoo\"/>"
Netscape-FastTrack	Header~="(server: ^Netscape-FastTrack)"
Netscape-FastTrack	Header~="(server: ^Netscape-FastTrack\\/(.+)$)"
RiOS	Header~="(x-rbt-optimized-by: \\(RiOS ([^\\s]+)\\))"
NukeViet-CMS	Body~="(<meta name=\"generator\" content=\"Nuke[vV]iet v([^\\s^\"]+)\" \\/>)"
NukeViet-CMS	Body="<div id=\"run_cronjobs\" style=\"visibility: hidden; display: none;\">"
NukeViet-CMS	Body~="(<form class=\"loginform\" method=\"post\" action=\"[^\"^>]*\\/admin\\/index\\.php\" onsubmit=\"return nv_checkadminlogin_submit\\(\\);\">)"
PRTG-Network-Monitor	Body~="(<title>PRTG Network Monitor \\(([^\\)]+)\\)&nbsp;\\|&nbsp;Welcome<\\/title>)"
PRTG-Network-Monitor	Body~="(<link rel=\"stylesheet\" type=\"text\\/css\" href=\"\\/css\\/prtgmini\\.css\\?prtgversion=([^\"]+)\" media=\"print,screen,projection\" \\/>)"
PRTG-Network-Monitor	Header~="(server: ^PRTG)"
PRTG-Network-Monitor	Header~="(server: ^PRTG\\/([^\\s]+)$)"
VisionWEB	Header~="(server: ^IWeb\\/([^\\s]+))"
VisionWEB	Body~="(VarPageTitle=\"Proxima\\d? DVMS VisionWEB v([^\\s^\"]+)\";)"
VisionWEB	Body="<b>CIEFFE srl</b> - \"We power Your eyes\"<br"
VisionWEB	Body~="(<meta name=\"COPYRIGHT\" content=\"&copy; 2001-(2[\\d]{3}) Insignis Technologies\")"
Alcatel-Lucent-Omniswitch	Body="<title>Webview Logon Page</title>"
Alcatel-Lucent-Omniswitch	Body="document.write(errMsg==\"\"?\"&nbsp;\":(\"<u>Error</u>&nbsp;-&nbsp;\" + errMsg));"
Novell-Open-Enterprise-Server	Body="<title>Home - Novell Open Enterprise Server 2</title>"
Novell-Open-Enterprise-Server	Body~="(<p id=\"ftr-copy\">&nbsp;&nbsp;&nbsp;&nbsp;&copy; (20[\\d]{2}) Novell, Inc\\. All Rights Reserved\\.<\\/p>)"
Novell-Open-Enterprise-Server	Body="<script type=\"text/javascript\" src=\"/welcome/inc/flashobj.js\"></script> <!-- required for javascript banners from Novell.com -->"
Novell-Open-Enterprise-Server	Body~="(<h1>Novell Open Enterprise Server ([^<]+)<\\/h1>\\s+<p class=\"link\"><a href=\"http:\\/\\/www\\.novell\\.com\\/products\\/openenterpriseserver\\/\">)"
RevSense	Body="<li><a href=\"http://www.revsense.com.au/\"><strong>RevSense</strong> - Powered by RevSense Ads</a></li>"
RevSense	Body="<!-- You cannot remove this powered by link without receiving permission from W3matter.com -->"
RevSense	Body~="(<font size=1><a>Powered by Revsense &trade;<\\/a> &copy; [0-9]{4} W3matter LLC<\\/font>)"
RevSense	Body~="(<font size=1><a href=\"http:\\/\\/www.w3matter.com\">Powered by Revsense &trade;<\\/a> &copy; [0-9]{4} W3matter LLC<\\/font>)"
Speakker	Body="<!-- INSTANTIATE SPEAKKER -->"
Speakker	Body="<!-- INCLUDE SPEAKKER -->"
Speakker	Body~="(<script type=\"text\\/javascript\" src=\"[^\"]+\\/(projekktor|speakker)\\.min\\.js\"><\\/script>)"
Meta-Geo	Body~="(<meta name=\"geo.[^\"]+\" content=\"([^\"]+)\"[^>]*>)"
Meta-Geo	Body~="(<meta name=\"ICBM\" content=\"([^\"]+)\"[^>]*>)"
phpATM	Body="<frame name=\"viewer_bottom\" src=\"viewer_bottom.php?file="
phpATM	Body~="(<div id=\"phpatm\">(<br>)?<a href=\"http:\\/\\/phpatm\\.org\\/\" target=\"_blank\" title=\"Powered by PHP Advanced Transfer Manager v([^\"]+)\">Powered by phpATM<\\/a><br><\\/div>)"
Auto-CMS	Body="<a href=\"http://www.ventics.com/autocms/\" target=\"_self\">Powered by Auto CMS</a>,<a href=\"http://validator.w3.org/check?uri=referer\">Valid XHTML 1.0</a>"
Open-Xchange	Body="<noscript><div class=\"noscriptmsg\">You need to enable JavaScript to access the Open-Xchange Server."
Open-Xchange	Body="<td class=\"browserchecktextnormal\" id=\"browserchecktext_id\">You need to enable JavaScript to access the Open-Xchange Server."
Open-Xchange	Body~="(<div class=\"login-bottomline\">\\W+<span id=\"[a-z]\\d+[a-z]\\d+\">Version<\\/span>\\s+:\\W+([^\\s]+\\W+[^\\W]+))"
Open-Xchange	Header~="(location: ^https?:\\/\\/[^\\/]+\\/ox6\\/ox\\.html$)"
ONZE-Miner	Body="<link rel=\"stylesheet\" href=\"transcriber.css\" type=\"text/css\">"
ONZE-Miner	Body~="(<tr><td align=center valign=bottom>Version[\\s]+([^\\s^<]+)<br>[\\s]+Copyright)"
ONZE-Miner	Body~="(&copy; 2004-20[\\d]{2} <a href=\"http:\\/\\/www\\.ling\\.canterbury\\.ac\\.nz\\/\" target=\"onze\">ONZE Project<\\/a> University of Canterbury, NZ)"
ONZE-Miner	Body="<a href=\"http://onzeminer.sourceforge.net\">ONZE Miner</a> is free software distributed under the terms of the <a href=\"/miner/gpl.txt\" target=\"license\">GNU General Public License</a>"
Citrix-Access-Gateway	Body="<HTML><HEAD><TITLE>Citrix Access Gateway</TITLE>"
Citrix-Access-Gateway	Body="<link rel=\"SHORTCUT ICON\" href=\"/vpn/images/AccessGateway.ico\" type=\"image/vnd.microsoft.icon\">"
Citrix-Access-Gateway	Body="<!--CONTENT CONTENT CONTENT CONTENT CONTENT--->"
Citrix-Access-Gateway	Body="</div><!---end of div c_logon_maincontent-->"
Citrix-Access-Gateway	Header~="(set-cookie: ezisneercsresu=)"
Citrix-Access-Gateway	Header~="(server: ^Cyms-SecS v[\\d\\.]+$)"
WordPress-Stats	Body~="(<script src=\"https?:\\/\\/(ssl-)?stats\\.wordpress\\.com\\/[^\"]+\" type=\"text\\/javascript\"><\\/script>)"
WordPress-Stats	Body~="(<noscript><img src=\"https?:\\/\\/stats\\.wordpress\\.com\\/b\\.gif\\?v=noscript\")"
TutorTrac	Body="<TITLE>TutorTrac Learning Center Tracking Software</TITLE>"
TutorTrac	Body="<meta name=\"keywords\" content=\"tutor,software,scheduling,learning,center,tutoring,assistant,assistance,education,accutrack,tutorial,community,college,university\"><meta name=\"description\" content=\"Web Based Tutor/Learning Center Management/Scheduling Software\">"
TutorTrac	Body~="(<P ALIGN=right><FONT SIZE=\"-1\" FACE=\"Verdana\" COLOR=\"#CCCCCC\">version[\\s]+([\\d\\.]+)[\\s]?&copy;Copyright 20[\\d]{2}, <\\/FONT><A HREF=\"http:\\/\\/www\\.go-redrock\\.com\"><FONT SIZE=\"-1\" FACE=\"Verdana\" COLOR=\"#CCCCCC\">RedRock)"
TutorTrac	Body~="(<P ALIGN=right><FONT COLOR=\"#CCCCCC\">version ([\\d\\.]+)[\\s]+&copy;Copyright 2004-20[\\d]{2}<br \\/><\\/FONT><A HREF=\"http:\\/\\/www\\.go-redrock\\.com\"><FONT COLOR=\"#CCCCCC\">RedRock)"
Modernizr	Body~="(<script [^>]*src=[\"'][^>]*modernizr[^>]*\\.js)"
Modernizr	Body~="(<script [^>]*src=[\"'][^>]*modernizr-([^>]+)\\.js)"
WoW-Raid-Manager	Body~="(Raid Management Provided by <a href=\"http:\\/\\/www.wowraidmanager.net\\/\">WoW Raid Manager<\\/a> v([\\d\\.]+))"
Oracle-Real-User-Experience-Insight	Body~="(<div class=\"windowWatermark\">Version: ([^\\s]+))"
Oracle-Real-User-Experience-Insight	Body="{\"retval\":false,\"error_"
Home-Control-Box	Header~="(server: ^hcb_web)"
Home-Control-Box	Header~="(server: ^hcb_web\\/v([^\\s]+) BoxTalk\\/[^\\s]+ SWILL\\/[^\\s]+ \\([^\\)]+\\)$)"
Home-Control-Box	Header~="(server: ^hcb_web\\/v[^\\s]+ (BoxTalk\\/[^\\s]+) SWILL\\/[^\\s]+ \\([^\\)]+\\)$)"
Home-Control-Box	Header~="(server: ^hcb_web\\/v[^\\s]+ BoxTalk\\/[^\\s]+ (SWILL\\/[^\\s]+) \\([^\\)]+\\)$)"
Home-Control-Box	Header~="(www-authenticate: ^Basic realm=\"Home Control Box Configuration \\(hcb-([a-z]{3}-[\\d]{4})\\)\"$)"
Home-Control-Box	Body="<frame frameborder=\"0\" name=\"MGUI\" src=\"myhcb_gui.html\" scrolling=\"no\""
ReOS	Body="Powered by <a href=\"http://reos.elazos.com\">ReOS</a>"
ReOS	Body~="(Powered by <a href=\"http:\\/\\/reos.elazos.com\">ReOS ([\\d\\.]+)<\\/a> and released under the <a href=\"http:\\/\\/www.fsf.org\\/licensing\\/licenses\\/agpl\\-3\\.0\\.html\">GNU\\/AGPLv3 License.<\\/a>)"
ReOS	Body~="(Powered by <a href=\"http:\\/\\/reos.elazos.com\">ReOS ([\\d\\.]+)<\\/a> and released under the <a href=\"http:\\/\\/creativecommons.org\\/licenses\\/GPL\\/2.0\\/\">GNU\\/GPL License.<\\/a>)"
Velazquez	Header~="(server: ^Velazquez)"
Velazquez	Header~="(server: ^Velazquez ([\\d\\.]+)$)"
SDL-Tridion-WCMS	Header~="(product-version: ^(.+)$)"
SDL-Tridion-WCMS	Header~="(product: ^Tridion (20[\\d]{2}) Dynamic Content Web Application$)"
Moxa-NPort-Device	Body="<HTML><HEAD><TITLE>NPort Web Console</TITLE></HEAD> <FRAMESET rows=57,1* frameborder=NO> <FRAME name=top scrolling=NO target=contents src=top.htm noresize> <FRAMESET cols=200,*> <FRAME name=contents target=main src=contents.htm> <FRAME name=main src=main.htm marginwidth=0 marginheight=0 scrolling=auto> </FRAMESET> <NOFRAMES><BODY background=bg.gif><P>This page uses frame, but your browser doesn't support.</P></BODY> </NOFRAMES> </FRAMESET></HTML>"
Moxa-NPort-Device	Body="<HTML><HEAD><TITLE>NPort Web Console</TITLE> <SCRIPT language="
Moxa-NPort-Device	Body="<HTML><HEAD> <LINK href=nport2g.css rel=stylesheet type=text/css><TITLE>Overview</TITLE></HEAD>"
Moxa-NPort-Device	Body="</script><BODY onload=window_onload()> <TABLE width=100% border=0 align=center><TR><TD><H2>Welcome to <span id=devlab1></span>'s web console !</H2></TD></TR>"
Entrans	Body="<li ><a href=\"list.php?category=all&amp;page=1\" >View All Strings</a> </li>"
Entrans	Body="<title>Entrans</title>"
ATutor	Body~="(<meta name=\"Generator\" content=\"ATutor - Copyright ([0-9]{4}) by http:\\/\\/atutor.ca\" \\/>)"
ATutor	Body="ATutor.course = ATutor.course || {};"
ATutor	Body="<span id=\"howto\">For guidance on using ATutor see the official"
OSCommerce	Body~="(<[^>]+(src|href)\\s*=\\s*[^>]\\bosCsid=([a-z0-9]{26}|[a-z0-9]{32}))"
OSCommerce	Body="The Exchange Project - Community Made Shopping!"
OSCommerce	Body="<td class=\"messageStackWarning\"><img src=\"images/icons/warning.gif\""
OSCommerce	Body="Powered by <a href=\"http://www.oscommerce.com\" target=\"_blank\">osCommerce</a>"
OSCommerce	Body="cookie_test=please_accept_for_session;"
OSCommerce	Header~="(set-cookie: osCsid=[a-z0-9]{32};)"
Cogent-DataHub	Body="timerID = setTimeout (\"DataHubConnection.updateTimer()\", this.timerTick);"
Cogent-DataHub	Body="<link type=\"text/css\" rel=\"stylesheet\" href=\"css/dhwebserver.css\" />"
Cogent-DataHub	Body="<img src=\"images/Cogent.gif\" alt=\"\" width=\"449\" height=\"47\" border=\"0\">"
Cogent-DataHub	Body="<!-- The DataHub script that determines if the DataPid is running is at the top of this file. The DataHub script is not visable"
Cogent-DataHub	Body="<title>Cogent DataHub WebView</title>"
Cogent-DataHub	Body="<!-- The following ASP code generates the table of DataHub point values -->"
PHPortfolio	Body~="(style=\"color:gray;font-size:smaller\">Powered by <a href=\"http:\\/\\/www\\.outshine\\.com\\/phportfolio\\/\"[^>]*>PHPortfolio<\\/a>\\.)"
OpenX	Body="<body class=\"hasInterface hasGradient hasSidebar \" onload=\"initPage();\">"
OpenX	Body="<div id=\"oaHeaderBranding\" class=\"brandingAdServer\">OpenX</div>"
OpenX	Body="<span class=\"tab-s\">Welcome to OpenX</span><br />"
OpenX	Body~="(<meta name=\"generator\" content=\"OpenX v([^\\s]+) - http:\\/\\/www\\.openx\\.org\"( \\/)?>)"
phpDealerLocator	Body="<select class=\"PythonSelect\" name=\"s_Dealer_Radius\">"
phpDealerLocator	Body="</td></tr></table><b>Database error:</b> Invalid SQL: SELECT Cat_Text FROM ( dealer_category_matrix RIGHT JOIN dealers ON dealers.Dealer_ID = dealer_category_matrix.DCM_Dealer_ID ) RIGHT JOIN category ON dealer_category_matrix.DCM_Cat_ID = category.Cat_ID WHERE Dealer_ID =  AND (Dealer_Publish = 'Y') AND (Dealer_Approved = 'Y')<br>"
phpDealerLocator	Body="<td><label for=\"Dealer_Radiuss_Dealer_Zip\">Zipcode/Postal Code</label></td>"
Citrix-ConfProxy	Header~="(server: ^confproxy\\/([\\d\\.]+))"
Fujitsu-Wireless-AP	Header~="(server: ^(SR-M20A[C|P]{1}1)$)"
ClientExec	Body="<!-- These should not have debug at the end for production -->"
ClientExec	Body="<title>Support Center - Powered By ClientExec</title>"
ClientExec	Body="<form action=\"index.php?fuse=admin&amp;action=Login&amp;public=1\" method=\"post\""
ClientExec	Body~="(<img class=\"logo\" src=\"templates\\/([^\\/]+)\\/images\\/public\\/caption_photo\\.jpg\" alt=\"clientexec\" \\/>)"
Wacintaki-Poteto-BBS	Body~="(<a href=\"http:\\/\\/www\\.NineChime\\.com\\/products\\/\" title=\"Get your own free BBS!\">Wacintaki ([^\\s^<]+)<\\/a> by Waccoon)"
Wacintaki-Poteto-BBS	Body~="(<div align=\"center\">OekakiPoteto v([^\\s]+) by <a href=\"http:\\/\\/suteki\\.nu\">RanmaGuy<\\/a> and <a href=\"http:\\/\\/www\\.cellosoft\\.com\">Marcello<\\/a>)"
Wacintaki-Poteto-BBS	Body="OekakiPoteto 5.x by <a href=\"http://www.suteki.nu\">RanmaGuy</a> and <a href=\"http://www.cellosoft.com\">Marcello</a><br />"
FestOS	Body~="(Powered by[\\ FestOS,]* <a href=\"http:\\/\\/[festengine.org\\/|www.festengine.org\\/|skypanther.com\\/festos.php]+\" title=\"FestOS, [the\\ festival\\ engine|the\\ Festival\\ Engine|the\\ web\\-based\\ festival\\ manager]+\"[\\ target=\"_blank\"]*>[FestOS|FestOS&trade;|www.festengine.org]+<\\/a>)"
FestOS	Body="<meta name=\"author\" content=\"FestOS by Skypanther Studios\">"
FestOS	Body="<meta name=\"author\" content=\"Skypanther Studios\">"
LuCI	Body="<a style=\"color: white; text-decoration: none\" href=\"/cgi-bin/luci\">LuCI - Lua Configuration Interface</a>"
LuCI	Body="<link rel=\"stylesheet\" type=\"text/css\" media=\"screen\" href=\"/luci-static/openwrt.org/cascade.css\" />"
LuCI	Body="<li><a href=\"/cgi-bin/luci/admin/\">Administration</a></li>"
LuCI	Body~="(<p class=\"luci\"><a href=\"\\/cgi-bin\\/luci\\/about\">Powered by LuCI [^<]+ \\(v([^\\)]+)\\)<\\/a><\\/p>)"
LuCI	Body~="(<p class=\"luci\"><a href=\"\\/cgi-bin\\/luci\\/about\">Powered by LuCI ([\\d\\.]+)<\\/a><\\/p>)"
LuCI	Body~="(<div id=\"header\">[\\r\\n]*<h1>OpenWrt Firmware<\\/h1>[\\r\\n]*<p>[\\r\\n]*([^<]+)<br \\/>[\\r\\n]*Load: [^<]{10,15}<br \\/>[\\r\\n]*Hostname: ([^\\r\\n<]+)[\\s]*<\\/p>[\\r\\n]*<\\/div>)"
NetGear-Print-Server	Body="<title>NetGear Print Server Setup</title>"
NetGear-Print-Server	Body="<p>To provide an enhanced user interface, this Print Server uses JavaScript extensively."
NetGear-Print-Server	Body="<title>NETGEAR Print Server </title>"
MapServer-4-Windows	Body="<title>MS4W - MapServer 4 Windows</title>"
MapServer-4-Windows	Body~="(<h1>MS4W - MapServer 4 Windows - version ([^<]+)<\\/h1>\\s+<h2>Introduction<\\/h2>)"
HostBill	Body="<!-- part below is not css valid. remove it if you want this document to be css valid -->"
HostBill	Body="</div><br/><center>Powered by <a href=\"http://hostbillapp.com\" target=\"_blank\"><strong>HostBill</strong></a></center><br/></div>"
phpDocumentor	Body="<title>docBuilder - phpDocumentor web interface</title>"
phpDocumentor	Body="<meta name=\"Description\" content=\"Frameset for phpDcoumentor docBuilder web interface\">"
phpDocumentor	Body="<meta name=\"Description\" content=\"Frameset for phpDocumentor docBuilder web interface\">"
phpDocumentor	Body~="(<input type=\"text\" name=\"fileName\" value=\"([^\"]+)\" size=\"60\" class=\"text\" \\/>)"
phpDocumentor	Body~="(<title>\\nForm to submit to phpDocumentor v([^\\s]+)<\\/title>)"
phpDocumentor	Body~="(<span class=\"title\"><strong>docBuilder<\\/strong> :: phpDocumentor v([^\\s]+) Web Interface<\\/span>)"
GoAhead-Webs	Body="response_code_begin ERIC_RESPONSE_OK response_code_end response_msg_begin  response_msg_end"
Rainmail	Body="<form action='/cgi-bin/openwebmail/openwebmail.pl'"
Rainmail	Body="<!--  SCRIPT CONFIGURATION SECTION -->"
Rainmail	Body="<TD width=50%><font color=\"ffffff\" size=\"1\"face=\"Verdana, Helvetica\">Rainmail is a product of :</font>"
Rainmail	Body="<div align=\"center\">.: <b>Rainmail Intranet Login </b> :.</div>"
Rainmail	Body="<TD><font color=\"ffffff\" size=\"1\"face=\"Verdana, Arial, Helvetica, sans-serif\">Rainmail is a product of :</font></TD>"
NetTalk-WebServer	Header~="(server: ^NetTalk-WebServer)"
NetTalk-WebServer	Header~="(server: ^NetTalk-WebServer\\/([\\d\\.]+)$)"
QNAP-NAS	Body="<title>QNAP Photo Station</title>"
QNAP-NAS	Body="<title>QNAP Download Station</title>"
QNAP-NAS	Body="<TITLE>QNAP Multimedia Station (Photo Album)</TITLE>"
QNAP-NAS	Body="<TITLE>Multimedia Station</TITLE>"
QNAP-NAS	Body="NavPage(\"http://\"+ location_hostname_for_ipv6(location.hostname) +\":\"+ qweb_port +\"/\", 0);"
